学号,姓名,登录名,年龄段,职业,自我介绍,所属班级,AI基线分析,教师标签,长期观察,学习建议
s51,卢磊瑶,stu_s51,25-34,办公室文员,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，并希望向团队推广。,cl3·AI办公/PPT,,,,
s52,傅涛,stu_s52,25-34,企业培训师,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，并希望向团队推广。,cl3·AI办公/PPT,,,,
s53,钟辉,stu_s53,35-44,项目经理,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s54,姜宇琳,stu_s54,35-44,销售经理,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s55,崔萱,stu_s55,35-44,HR 专员,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s56,谭然,stu_s56,45-54,财务专员,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，先掌握基础操作。,cl3·AI办公/PPT,,,,
s57,廖知瑶,stu_s57,35-44,市场专员,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s58,范强,stu_s58,25-34,总裁助理,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，并希望向团队推广。,cl3·AI办公/PPT,,,,
s59,汪娟,stu_s59,25-34,运营助理,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，并希望向团队推广。,cl3·AI办公/PPT,,,,
s60,陆文琪,stu_s60,25-34,行政主管,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，并希望向团队推广。,cl3·AI办公/PPT,,,,
s61,金晨,stu_s61,35-44,办公室文员,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s62,石睿,stu_s62,35-44,企业培训师,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s63,戴宁瑾,stu_s63,35-44,项目经理,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s64,贾予,stu_s64,45-54,销售经理,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，先掌握基础操作。,cl3·AI办公/PPT,,,,
s65,韦丽,stu_s65,35-44,HR 专员,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s66,夏杰琼,stu_s66,25-34,财务专员,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，并希望向团队推广。,cl3·AI办公/PPT,,,,
s67,邱刚,stu_s67,25-34,市场专员,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，并希望向团队推广。,cl3·AI办公/PPT,,,,
s68,方璐,stu_s68,25-34,总裁助理,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，并希望向团队推广。,cl3·AI办公/PPT,,,,
s69,侯涵琳,stu_s69,35-44,运营助理,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s70,邹嘉,stu_s70,35-44,行政主管,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s71,熊可,stu_s71,35-44,办公室文员,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s72,孟静珊,stu_s72,45-54,企业培训师,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，先掌握基础操作。,cl3·AI办公/PPT,,,,
s73,秦艳,stu_s73,35-44,项目经理,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，真正用起来提效。,cl3·AI办公/PPT,,,,
s74,白平,stu_s74,25-34,销售经理,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，并希望向团队推广。,cl3·AI办公/PPT,,,,
s75,江倩璇,stu_s75,25-34,HR 专员,日常工作大量使用 Office，想用 AI 提速 PPT 与数据处理，并希望向团队推广。,cl3·AI办公/PPT,,,,
