学号,姓名,登录名,年龄段,职业,自我介绍,所属班级,对应老师,AI基线分析,教师标签,长期观察,学习建议
s101,梁磊,stu_s101,35-44,职业规划师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s102,谢涛菲,stu_s102,35-44,教育咨询师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s103,宋辉,stu_s103,35-44,学员家长,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s104,唐宇,stu_s104,45-54,课程设计师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，先掌握基础操作。,cl5·课程统筹-学员成长,林老师,,,,
s105,许萱怡,stu_s105,35-44,学习教练,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s106,韩然,stu_s106,25-34,社区运营,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，并希望向团队推广。,cl5·课程统筹-学员成长,林老师,,,,
s107,冯知,stu_s107,25-34,公益组织者,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，并希望向团队推广。,cl5·课程统筹-学员成长,林老师,,,,
s108,邓强彤,stu_s108,25-34,心理咨询师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，并希望向团队推广。,cl5·课程统筹-学员成长,林老师,,,,
s109,曹娟,stu_s109,35-44,生涯顾问,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s110,彭文,stu_s110,35-44,教研员,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s111,曾晨瑶,stu_s111,35-44,职业规划师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s112,萧睿,stu_s112,45-54,教育咨询师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，先掌握基础操作。,cl5·课程统筹-学员成长,林老师,,,,
s113,田宁,stu_s113,35-44,学员家长,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s114,董予琳,stu_s114,25-34,课程设计师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，并希望向团队推广。,cl5·课程统筹-学员成长,林老师,,,,
s115,袁丽,stu_s115,25-34,学习教练,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，并希望向团队推广。,cl5·课程统筹-学员成长,林老师,,,,
s116,潘杰,stu_s116,25-34,社区运营,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，并希望向团队推广。,cl5·课程统筹-学员成长,林老师,,,,
s117,于刚瑶,stu_s117,35-44,公益组织者,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s118,蒋璐,stu_s118,35-44,心理咨询师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s119,蔡涵,stu_s119,35-44,生涯顾问,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s120,余嘉琪,stu_s120,45-54,教研员,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，先掌握基础操作。,cl5·课程统筹-学员成长,林老师,,,,
s121,杜可,stu_s121,35-44,职业规划师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
s122,叶静,stu_s122,25-34,教育咨询师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，并希望向团队推广。,cl5·课程统筹-学员成长,林老师,,,,
s123,程艳瑾,stu_s123,25-34,学员家长,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，并希望向团队推广。,cl5·课程统筹-学员成长,林老师,,,,
s124,苏平,stu_s124,25-34,课程设计师,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，并希望向团队推广。,cl5·课程统筹-学员成长,林老师,,,,
s125,魏倩,stu_s125,35-44,学习教练,关注学习路径与成长规划，想用 AI 辅助教研与学员陪伴，真正用起来提效。,cl5·课程统筹-学员成长,林老师,,,,
